entity,coupled,degree,average-revs
org.apache.struts2.convention.DefaultResultMapBuilderTest,org.apache.struts2.convention.PackageBasedActionConfigBuilderTest,43,16
org.apache.struts2.dojo.components.Autocompleter,org.apache.struts2.dojo.views.jsp.ui.AutocompleterTag,43,12
org.apache.struts2.portlet.interceptor.PortletStateInterceptor,org.apache.struts2.portlet.result.PortletResult,43,12
org.apache.struts2.interceptor.CookieInterceptor,org.apache.struts2.interceptor.CookiesAware,42,14
org.apache.struts2.dispatcher.mapper.Restful2ActionMapper,org.apache.struts2.dispatcher.mapper.RestfulActionMapper,41,20
org.apache.struts2.dojo.components.Autocompleter,org.apache.struts2.dojo.views.jsp.ui.AutocompleterTest,41,12
org.apache.struts2.components.PortletUrlRenderer,org.apache.struts2.views.jsp.PortletUrlTagTest,40,15
org.apache.struts2.tiles.StrutsTilesContainerFactory,org.apache.struts2.tiles.StrutsTilesInitializer,39,26
org.apache.struts2.TestConfigurationProvider,org.apache.struts2.interceptor.ExecuteAndWaitInterceptorTest,38,13
org.apache.struts2.StrutsConstants,org.apache.struts2.config.BeanSelectionProvider,37,67
org.apache.struts2.interceptor.FileUploadInterceptor,org.apache.struts2.interceptor.FileUploadInterceptorTest,37,30
org.apache.struts2.interceptor.I18nInterceptor,org.apache.struts2.interceptor.I18nInterceptorTest,37,19
org.apache.struts2.tiles.StrutsFreeMarkerAttributeRenderer,org.apache.struts2.tiles.StrutsTilesInitializer,37,16
org.apache.struts2.dispatcher.multipart.JakartaMultiPartRequest,org.apache.struts2.dispatcher.multipart.MultiPartRequest,37,16
org.apache.struts2.views.jsp.ui.AbstractUITag,org.apache.struts2.views.jsp.ui.AnchorTest,37,14
org.apache.struts2.dispatcher.multipart.JakartaStreamMultiPartRequest,org.apache.struts2.dispatcher.multipart.PellMultiPartRequest,37,14
org.apache.struts2.views.jsp.URLTag,org.apache.struts2.views.jsp.URLTagTest,37,14
org.apache.struts2.convention.DefaultResultMapBuilder,org.apache.struts2.convention.PackageBasedActionConfigBuilderTest,35,20
org.apache.struts2.tiles.StrutsTilesContainerFactory,org.apache.struts2.tiles.StrutsTilesListener,34,24
org.apache.struts2.spring.ClassReloadingXMLWebApplicationContext,org.apache.struts2.spring.StrutsSpringObjectFactory,34,15
org.apache.struts2.portlet.dispatcher.Jsr168Dispatcher,org.apache.struts2.portlet.interceptor.PortletStateInterceptor,34,15
org.apache.struts2.dispatcher.ActionContextCleanUp,org.apache.struts2.dispatcher.FilterDispatcher,33,30
org.apache.struts2.dispatcher.multipart.JakartaMultiPartRequest,org.apache.struts2.dispatcher.multipart.JakartaStreamMultiPartRequest,33,21
org.apache.struts2.components.URL,org.apache.struts2.views.jsp.URLTag,33,15
org.apache.struts2.convention.PackageBasedActionConfigBuilder,org.apache.struts2.convention.PackageBasedActionConfigBuilderTest,32,37
org.apache.struts2.tiles.StrutsFreeMarkerAttributeRenderer,org.apache.struts2.tiles.StrutsTilesContainerFactory,32,28
org.apache.struts2.dojo.components.Autocompleter,org.apache.struts2.dojo.components.Submit,30,17
